Freezing bottom 10 layers of RoBERTa...
[Epoch 1 | Step  100/2553] loss=1.0372
[Epoch 1 | Step  200/2553] loss=0.9674
[Epoch 1 | Step  300/2553] loss=0.9333
[Epoch 1 | Step  400/2553] loss=0.9292
[Epoch 1 | Step  500/2553] loss=0.8621
[Epoch 1 | Step  600/2553] loss=0.9006
[Epoch 1 | Step  700/2553] loss=0.8726
[Epoch 1 | Step  800/2553] loss=0.8788
[Epoch 1 | Step  900/2553] loss=0.8428
[Epoch 1 | Step 1000/2553] loss=0.8087
[Epoch 1 | Step 1100/2553] loss=0.8408
[Epoch 1 | Step 1200/2553] loss=0.7805
[Epoch 1 | Step 1300/2553] loss=0.7815
[Epoch 1 | Step 1400/2553] loss=0.8302
[Epoch 1 | Step 1500/2553] loss=0.7696
[Epoch 1 | Step 1600/2553] loss=0.7685
[Epoch 1 | Step 1700/2553] loss=0.7662
[Epoch 1 | Step 1800/2553] loss=0.7438
[Epoch 1 | Step 1900/2553] loss=0.7743
[Epoch 1 | Step 2000/2553] loss=0.7741
[Epoch 1 | Step 2100/2553] loss=0.7383
[Epoch 1 | Step 2200/2553] loss=0.7819
[Epoch 1 | Step 2300/2553] loss=0.7991
[Epoch 1 | Step 2400/2553] loss=0.7608
[Epoch 1 | Step 2500/2553] loss=0.7729
>>> Epoch 1 train_loss=0.8281 | train_acc=0.6338
Epoch [1/10] Val loss=0.7617 | Val Acc=0.6483 | Val F1=0.5360
  ↑ new best F1 (0.5360) – model saved to /Users/lorenaandravacarean/Desktop/Fake News/Model/claim-only/freezing/stage1_claim_only4.pth

[Epoch 2 | Step  100/2553] loss=0.7673
[Epoch 2 | Step  200/2553] loss=0.7391
[Epoch 2 | Step  300/2553] loss=0.7906
[Epoch 2 | Step  400/2553] loss=0.7819
[Epoch 2 | Step  500/2553] loss=0.7517
[Epoch 2 | Step  600/2553] loss=0.7447
[Epoch 2 | Step  700/2553] loss=0.7504
[Epoch 2 | Step  800/2553] loss=0.7799
[Epoch 2 | Step  900/2553] loss=0.7272
[Epoch 2 | Step 1000/2553] loss=0.7164
[Epoch 2 | Step 1100/2553] loss=0.7325
[Epoch 2 | Step 1200/2553] loss=0.7045
[Epoch 2 | Step 1300/2553] loss=0.6887
[Epoch 2 | Step 1400/2553] loss=0.7473
[Epoch 2 | Step 1500/2553] loss=0.7171
[Epoch 2 | Step 1600/2553] loss=0.7067
[Epoch 2 | Step 1700/2553] loss=0.6885
[Epoch 2 | Step 1800/2553] loss=0.6876
[Epoch 2 | Step 1900/2553] loss=0.6876
[Epoch 2 | Step 2000/2553] loss=0.6897
[Epoch 2 | Step 2100/2553] loss=0.6621
[Epoch 2 | Step 2200/2553] loss=0.6997
[Epoch 2 | Step 2300/2553] loss=0.7221
[Epoch 2 | Step 2400/2553] loss=0.6909
[Epoch 2 | Step 2500/2553] loss=0.7076
>>> Epoch 2 train_loss=0.7234 | train_acc=0.6680
Epoch [2/10] Val loss=0.7442 | Val Acc=0.6539 | Val F1=0.5602
  ↑ new best F1 (0.5602) – model saved to /Users/lorenaandravacarean/Desktop/Fake News/Model/claim-only/freezing/stage1_claim_only4.pth


[+] Gradual unfreeze: enabling layers 8-11 (was 10‑11)

[Epoch 3 | Step  100/2553] loss=0.7017
[Epoch 3 | Step  200/2553] loss=0.6597
[Epoch 3 | Step  300/2553] loss=0.7205
[Epoch 3 | Step  400/2553] loss=0.7186
[Epoch 3 | Step  500/2553] loss=0.6874
[Epoch 3 | Step  600/2553] loss=0.6678
[Epoch 3 | Step  700/2553] loss=0.6800
[Epoch 3 | Step  800/2553] loss=0.7325
[Epoch 3 | Step  900/2553] loss=0.6737
[Epoch 3 | Step 1000/2553] loss=0.6724
[Epoch 3 | Step 1100/2553] loss=0.6787
[Epoch 3 | Step 1200/2553] loss=0.6493
[Epoch 3 | Step 1300/2553] loss=0.6431
[Epoch 3 | Step 1400/2553] loss=0.6960
[Epoch 3 | Step 1500/2553] loss=0.6735
[Epoch 3 | Step 1600/2553] loss=0.6648
[Epoch 3 | Step 1700/2553] loss=0.6422
[Epoch 3 | Step 1800/2553] loss=0.6372
[Epoch 3 | Step 1900/2553] loss=0.6340
[Epoch 3 | Step 2000/2553] loss=0.6390
[Epoch 3 | Step 2100/2553] loss=0.6180
[Epoch 3 | Step 2200/2553] loss=0.6425
[Epoch 3 | Step 2300/2553] loss=0.6751
[Epoch 3 | Step 2400/2553] loss=0.6467
[Epoch 3 | Step 2500/2553] loss=0.6634
>>> Epoch 3 train_loss=0.6692 | train_acc=0.6915
Epoch [3/10] Val loss=0.7418 | Val Acc=0.6508 | Val F1=0.5581
[Epoch 4 | Step  100/2553] loss=0.6964
[Epoch 4 | Step  200/2553] loss=0.6644
[Epoch 4 | Step  300/2553] loss=0.7050
[Epoch 4 | Step  400/2553] loss=0.6866
[Epoch 4 | Step  500/2553] loss=0.6706
[Epoch 4 | Step  600/2553] loss=0.6279
[Epoch 4 | Step  700/2553] loss=0.6232
[Epoch 4 | Step  800/2553] loss=0.6652
[Epoch 4 | Step  900/2553] loss=0.6135
[Epoch 4 | Step 1000/2553] loss=0.5884
[Epoch 4 | Step 1100/2553] loss=0.5811
[Epoch 4 | Step 1200/2553] loss=0.5609
[Epoch 4 | Step 1300/2553] loss=0.5628
[Epoch 4 | Step 1400/2553] loss=0.5791
[Epoch 4 | Step 1500/2553] loss=0.5924
[Epoch 4 | Step 1600/2553] loss=0.5738
[Epoch 4 | Step 1700/2553] loss=0.5335
[Epoch 4 | Step 1800/2553] loss=0.5404
[Epoch 4 | Step 1900/2553] loss=0.5227
[Epoch 4 | Step 2000/2553] loss=0.5191
[Epoch 4 | Step 2100/2553] loss=0.4912
[Epoch 4 | Step 2200/2553] loss=0.5499
[Epoch 4 | Step 2300/2553] loss=0.5483
[Epoch 4 | Step 2400/2553] loss=0.5287
[Epoch 4 | Step 2500/2553] loss=0.5395
>>> Epoch 4 train_loss=0.5910 | train_acc=0.7277
Epoch [4/10] Val loss=0.7779 | Val Acc=0.6483 | Val F1=0.5799
  ↑ new best F1 (0.5799) – model saved to /Users/lorenaandravacarean/Desktop/Fake News/Model/claim-only/freezing/stage1_claim_only4.pth

[Epoch 5 | Step  100/2553] loss=0.5863
[Epoch 5 | Step  200/2553] loss=0.5575
[Epoch 5 | Step  300/2553] loss=0.6088
[Epoch 5 | Step  400/2553] loss=0.5864
[Epoch 5 | Step  500/2553] loss=0.5739
[Epoch 5 | Step  600/2553] loss=0.5230
[Epoch 5 | Step  700/2553] loss=0.4883
[Epoch 5 | Step  800/2553] loss=0.5599
[Epoch 5 | Step  900/2553] loss=0.5007
[Epoch 5 | Step 1000/2553] loss=0.4932
[Epoch 5 | Step 1100/2553] loss=0.4497
[Epoch 5 | Step 1200/2553] loss=0.4318
[Epoch 5 | Step 1300/2553] loss=0.4461
[Epoch 5 | Step 1400/2553] loss=0.4318
[Epoch 5 | Step 1500/2553] loss=0.4681
[Epoch 5 | Step 1600/2553] loss=0.4358
[Epoch 5 | Step 1700/2553] loss=0.4025
[Epoch 5 | Step 1800/2553] loss=0.4209
[Epoch 5 | Step 1900/2553] loss=0.3814
[Epoch 5 | Step 2000/2553] loss=0.4093
[Epoch 5 | Step 2100/2553] loss=0.3654
[Epoch 5 | Step 2200/2553] loss=0.4207
[Epoch 5 | Step 2300/2553] loss=0.3687
[Epoch 5 | Step 2400/2553] loss=0.3769
[Epoch 5 | Step 2500/2553] loss=0.4180
>>> Epoch 5 train_loss=0.4674 | train_acc=0.7898
Epoch [5/10] Val loss=0.9171 | Val Acc=0.5997 | Val F1=0.5511
[Epoch 6 | Step  100/2553] loss=0.4622
[Epoch 6 | Step  200/2553] loss=0.4331
[Epoch 6 | Step  300/2553] loss=0.4688
[Epoch 6 | Step  400/2553] loss=0.4644
[Epoch 6 | Step  500/2553] loss=0.4196
[Epoch 6 | Step  600/2553] loss=0.3773
[Epoch 6 | Step  700/2553] loss=0.3631
[Epoch 6 | Step  800/2553] loss=0.3930
[Epoch 6 | Step  900/2553] loss=0.3807
[Epoch 6 | Step 1000/2553] loss=0.3576
[Epoch 6 | Step 1100/2553] loss=0.3293
[Epoch 6 | Step 1200/2553] loss=0.2786
[Epoch 6 | Step 1300/2553] loss=0.3178
[Epoch 6 | Step 1400/2553] loss=0.3138
[Epoch 6 | Step 1500/2553] loss=0.2986
[Epoch 6 | Step 1600/2553] loss=0.3288
[Epoch 6 | Step 1700/2553] loss=0.2637
[Epoch 6 | Step 1800/2553] loss=0.2880
[Epoch 6 | Step 1900/2553] loss=0.2605
[Epoch 6 | Step 2000/2553] loss=0.2755
[Epoch 6 | Step 2100/2553] loss=0.2522
[Epoch 6 | Step 2200/2553] loss=0.3059
[Epoch 6 | Step 2300/2553] loss=0.2891
[Epoch 6 | Step 2400/2553] loss=0.2577
[Epoch 6 | Step 2500/2553] loss=0.2853
>>> Epoch 6 train_loss=0.3388 | train_acc=0.8541
Epoch [6/10] Val loss=1.0243 | Val Acc=0.6210 | Val F1=0.5576
[Epoch 7 | Step  100/2553] loss=0.3222
[Epoch 7 | Step  200/2553] loss=0.3253
[Epoch 7 | Step  300/2553] loss=0.3450
[Epoch 7 | Step  400/2553] loss=0.3442
[Epoch 7 | Step  500/2553] loss=0.2827
[Epoch 7 | Step  600/2553] loss=0.2550
[Epoch 7 | Step  700/2553] loss=0.2329
[Epoch 7 | Step  800/2553] loss=0.2754
[Epoch 7 | Step  900/2553] loss=0.2584
[Epoch 7 | Step 1000/2553] loss=0.2553
[Epoch 7 | Step 1100/2553] loss=0.2191
[Epoch 7 | Step 1200/2553] loss=0.2053
[Epoch 7 | Step 1300/2553] loss=0.2009
[Epoch 7 | Step 1400/2553] loss=0.2444
[Epoch 7 | Step 1500/2553] loss=0.2122
[Epoch 7 | Step 1600/2553] loss=0.1925
[Epoch 7 | Step 1700/2553] loss=0.1649
[Epoch 7 | Step 1800/2553] loss=0.2021
